Recorder	Year	Length
Reese	1880	38.6
Reese	1882.5	38.5
Reese	1885	38.5
Reese	1887.5	38.3
Reese	1890	38
Reese	1892.5	37.4
Reese	1895	36.6
Reese	1897.5	36
Reese	1900	35.3
Reese	1902.5	34.7
Reese	1905	34.3
Reese	1907.5	33.9
Reese	1910	33.6
Reese	1912.5	33.8
Reese	1915	34.4
Reese	1917.5	35.3
Reese	1920	36.1
Reese	1922.5	36.5
Reese	1925	36.5
Reese	1927.5	35.7
Reese	1930	34.4
Reese	1932.5	33.2
Reese	1935	32.2
Reese	1937.5	31.5
Reese	1940	30.8
Reese	1942.5	30.3
Reese	1945	29.8
Reese	1947.5	29.5
Reese	1950	29.5
Reese	1952.5	29.5
Reese	1955	29.5
Reese	1957.5	29.2
Reese	1960	28.7
Reese	1962.5	28
Reese	1965	27.3
Guitar	1962.7	25.1
Guitar	1963.7	24.3
Guitar	1964.8	24.2
Guitar	1965.8	23.7
Guitar	1967.2	25.9
Guitar	1968.1	24.7
Guitar	1969.2	24.8
Guitar	1970.2	24.9
Guitar	1971.3	24.4
Guitar	1972.5	23.1
Guitar	1973.5	21.9
Guitar	1974.5	22.7
Guitar	1975.8	21.4
Guitar	1976.8	21.7
Guitar	1978	23.7
Guitar	1979.1	24.8
Guitar	1980.2	23.3
Spacecraft	1979.515	20.9
Spacecraft	1994.547	18.17
Spacecraft	1994.559	18.2
Spacecraft	1994.657	17.8
Spacecraft	1995.123	18.3
Spacecraft	1995.762	18.4
Spacecraft	1996.486	17.7
Spacecraft	1996.806	18.5
Spacecraft	1997.257	17.2
Spacecraft	1999.786	17.9
Spacecraft	2001.02	17.4
Spacecraft	2007.23	16.3
Spacecraft	2008.37	15.8
Spacecraft	2008.494	15.6
Spacecraft	2008.519	15.6
Spacecraft	2009.559	15.4
Spacecraft	2009.838	15.2
Spacecraft	2012.699	15.3
Spacecraft	2014.304	14.1
Spacecraft	2015.052	14
Spacecraft	2016.11	13.7
Spacecraft	2016.947	13.6
Spacecraft	2017.087	14
Spacecraft	2017.255	13.9
Spacecraft	2017.526	14
